time,distance,filtered,setpoint,error,control,beam_angle
0.0,116.0,116.0,30.0,0.0,0.0,0.06
0.034,116.0,116.0,30.0,0.0,0.0,0.06
0.068,116.0,116.0,30.0,0.0,100.0,0.06
0.102,116.0,116.0,30.0,0.0,100.0,0.06
0.136,116.0,116.0,30.0,0.0,100.0,0.06
0.17,116.0,116.0,30.0,0.0,100.0,0.06
0.204,116.0,116.0,30.0,0.0,100.0,0.06
0.238,116.0,116.0,30.0,0.0,100.0,0.16
0.272,116.0,116.0,30.0,0.0,100.0,0.06
0.306,116.0,116.0,30.0,0.0,100.0,0.06
0.34,116.0,116.0,30.0,0.0,100.0,0.06
0.374,116.0,116.0,30.0,0.0,100.0,0.06
0.408,116.0,116.0,30.0,0.0,100.0,0.06
0.442,116.0,116.0,30.0,0.0,100.0,0.06
0.476,116.0,116.0,30.0,0.0,100.0,0.06
0.51,116.0,116.0,30.0,0.0,100.0,0.06
0.544,116.0,116.0,30.0,0.0,100.0,0.06
0.578,116.0,116.0,30.0,0.0,100.0,0.16
0.612,116.0,116.0,30.0,0.0,100.0,0.06
0.646,116.0,116.0,30.0,0.0,100.0,0.06
0.68,116.0,116.0,30.0,0.0,100.0,0.06
0.714,116.0,116.0,30.0,0.0,100.0,0.06
0.748,116.0,116.0,30.0,0.0,100.0,0.06
0.782,116.0,116.0,30.0,0.0,100.0,0.06
0.816,116.0,116.0,30.0,0.0,100.0,0.06
0.85,116.0,116.0,30.0,0.0,100.0,0.06
0.884,116.0,116.0,30.0,0.0,100.0,0.06
0.918,116.0,116.0,30.0,0.0,100.0,0.06
0.952,116.0,116.0,30.0,0.0,100.0,0.06
0.986,116.0,116.0,30.0,0.0,100.0,0.06
1.02,116.0,116.0,30.0,0.0,100.0,0.06
1.054,116.0,116.0,30.0,0.0,100.0,0.06
1.088,116.0,116.0,30.0,0.0,100.0,0.06
1.122,116.0,116.0,30.0,0.0,100.0,0.06
1.156,116.0,116.0,30.0,0.0,100.0,0.06
1.19,116.0,116.0,30.0,0.0,92.0,0.06
1.224,116.0,116.0,30.0,0.0,92.0,0.06
1.258,116.0,116.0,30.0,0.0,92.0,0.06
1.292,116.0,116.0,30.0,0.0,92.0,0.06
1.326,116.0,116.0,30.0,0.0,92.0,0.68
1.36,116.0,116.0,30.0,0.0,92.0,0.68
1.394,116.0,116.0,30.0,0.0,92.0,1.2
1.428,116.0,116.0,30.0,0.0,92.0,1.41
1.462,116.0,116.0,30.0,0.0,92.0,1.41
1.496,116.0,116.0,30.0,0.0,92.0,1.41
1.53,115.0,115.0,30.0,0.0,92.0,1.41
1.564,114.0,114.0,30.0,0.0,92.0,1.41
1.598,114.0,114.0,30.0,0.0,92.0,1.41
1.632,114.0,114.0,30.0,0.0,92.0,1.41
1.666,113.0,113.0,30.0,0.0,107.0,1.41
1.7,113.0,113.0,30.0,0.0,107.0,1.41
1.734,113.0,113.0,30.0,0.0,107.0,1.41
1.768,113.0,113.0,30.0,0.0,107.0,1.3
1.802,113.0,113.0,30.0,0.0,107.0,1.3
1.836,113.0,113.0,30.0,0.0,107.0,0.68
1.87,114.0,113.0,30.0,0.0,107.0,-0.98
1.904,114.0,113.0,30.0,0.0,107.0,-0.98
1.938,116.0,115.0,30.0,0.0,107.0,-1.29
1.973,116.0,116.0,30.0,0.0,107.0,-1.29
2.008,119.0,118.0,30.0,0.0,107.0,-1.19
2.043,120.0,119.0,30.0,0.0,107.0,-1.19
2.078,120.0,120.0,30.0,0.0,107.0,-1.19
2.113,124.0,122.0,30.0,0.0,107.0,-1.19
2.148,124.0,123.0,30.0,0.0,107.0,-1.19
2.183,128.0,127.0,30.0,0.0,107.0,-1.19
2.218,128.0,128.0,30.0,0.0,92.0,-1.19
2.252,133.0,131.0,30.0,0.0,92.0,-1.19
2.286,133.0,133.0,30.0,0.0,92.0,-1.19
2.32,139.0,137.0,30.0,0.0,92.0,-1.29
2.354,139.0,138.0,30.0,0.0,92.0,-1.29
2.388,146.0,144.0,30.0,0.0,92.0,-0.26
2.422,153.0,150.0,30.0,0.0,92.0,1.3
2.456,153.0,152.0,30.0,0.0,92.0,1.3
2.49,156.0,155.0,30.0,0.0,92.0,1.3
2.524,161.0,159.0,30.0,0.0,92.0,1.3
2.558,161.0,161.0,30.0,0.0,92.0,1.3
2.592,164.0,163.0,30.0,0.0,92.0,1.1
2.626,164.0,164.0,30.0,0.0,92.0,1.1
2.66,170.0,168.0,30.0,0.0,92.0,1.2
2.694,170.0,170.0,30.0,0.0,92.0,1.2
2.728,174.0,172.0,30.0,0.0,92.0,1.1
2.762,175.0,174.0,30.0,0.0,92.0,1.2
2.796,175.0,175.0,30.0,0.0,92.0,1.2
2.83,175.0,175.0,30.0,0.0,92.0,1.2
2.864,179.0,178.0,30.0,0.0,92.0,1.2
2.898,180.0,180.0,30.0,0.0,105.0,1.2
2.932,180.0,180.0,30.0,0.0,105.0,1.2
2.966,180.0,180.0,30.0,0.0,105.0,1.2
3.0,180.0,180.0,30.0,0.0,105.0,1.2
3.034,180.0,180.0,30.0,0.0,105.0,1.2
3.068,178.0,179.0,30.0,0.0,105.0,-0.57
3.102,177.0,177.0,30.0,0.0,105.0,-0.98
3.136,177.0,177.0,30.0,0.0,105.0,-0.98
3.17,175.0,176.0,30.0,0.0,105.0,-1.09
3.205,175.0,175.0,30.0,0.0,105.0,-1.09
3.24,175.0,175.0,30.0,0.0,105.0,-1.09
3.275,175.0,175.0,30.0,0.0,105.0,-1.09
3.31,175.0,175.0,30.0,0.0,105.0,-1.19
3.345,175.0,175.0,30.0,0.0,105.0,-1.19
3.38,175.0,175.0,30.0,0.0,105.0,-1.19
3.415,175.0,175.0,30.0,0.0,105.0,-1.19
3.45,175.0,175.0,30.0,0.0,105.0,-1.19
3.485,176.0,176.0,30.0,0.0,105.0,-1.19
3.52,176.0,176.0,30.0,0.0,105.0,-1.19
3.555,176.0,176.0,30.0,0.0,105.0,-1.19
3.59,176.0,176.0,30.0,0.0,91.0,-1.19
3.624,176.0,176.0,30.0,0.0,91.0,-1.19
3.658,176.0,176.0,30.0,0.0,91.0,-1.19
3.692,176.0,176.0,30.0,0.0,91.0,-1.19
3.726,176.0,176.0,30.0,0.0,91.0,-1.19
3.76,176.0,176.0,30.0,0.0,91.0,-0.36
3.794,176.0,176.0,30.0,0.0,91.0,0.26
3.828,175.0,176.0,30.0,0.0,91.0,1.62
3.862,174.0,174.0,30.0,0.0,91.0,1.62
3.896,173.0,173.0,30.0,0.0,91.0,1.62
3.93,173.0,173.0,30.0,0.0,91.0,1.62
3.964,171.0,172.0,30.0,0.0,91.0,1.62
3.998,170.0,170.0,30.0,0.0,91.0,1.62
4.032,170.0,170.0,30.0,0.0,91.0,1.62
4.066,168.0,169.0,30.0,0.0,91.0,1.51
4.1,167.0,168.0,30.0,0.0,91.0,1.62
4.134,167.0,168.0,30.0,0.0,91.0,1.62
4.168,164.0,165.0,30.0,0.0,91.0,1.51
4.202,163.0,164.0,30.0,0.0,91.0,1.62
4.236,163.0,163.0,30.0,0.0,91.0,1.62
4.27,160.0,161.0,30.0,0.0,104.0,1.62
4.304,159.0,160.0,30.0,0.0,104.0,1.62
4.338,158.0,158.0,30.0,0.0,104.0,1.51
4.372,158.0,158.0,30.0,0.0,104.0,1.51
4.406,155.0,156.0,30.0,0.0,104.0,0.99
4.44,155.0,155.0,30.0,0.0,104.0,0.99
4.474,153.0,154.0,30.0,0.0,104.0,-0.15
4.508,153.0,153.0,30.0,0.0,104.0,-0.15
4.542,150.0,151.0,30.0,0.0,104.0,-0.98
4.576,150.0,150.0,30.0,0.0,104.0,-0.88
4.61,149.0,149.0,30.0,0.0,104.0,-0.88
4.644,149.0,149.0,30.0,0.0,104.0,-0.88
4.678,150.0,150.0,30.0,0.0,104.0,-0.77
4.712,150.0,150.0,30.0,0.0,104.0,-0.88
4.746,150.0,150.0,30.0,0.0,104.0,-0.88
4.78,151.0,151.0,30.0,0.0,104.0,-0.88
4.814,152.0,152.0,30.0,0.0,104.0,-0.77
4.848,153.0,153.0,30.0,0.0,104.0,-0.88
4.882,153.0,153.0,30.0,0.0,104.0,-0.88
4.916,154.0,154.0,30.0,0.0,104.0,-0.77
4.95,154.0,154.0,30.0,0.0,104.0,-0.77
4.984,154.0,154.0,30.0,0.0,93.0,-0.77
5.018,157.0,156.0,30.0,0.0,93.0,-0.77
5.052,157.0,157.0,30.0,0.0,93.0,-0.77
5.086,161.0,160.0,30.0,0.0,93.0,-0.57
5.12,161.0,161.0,30.0,0.0,93.0,-0.57
5.154,161.0,161.0,30.0,0.0,93.0,-0.57
5.188,165.0,164.0,30.0,0.0,93.0,0.89
5.222,166.0,166.0,30.0,0.0,93.0,1.1
5.256,169.0,168.0,30.0,0.0,93.0,1.1
5.29,169.0,169.0,30.0,0.0,93.0,1.1
5.324,170.0,169.0,30.0,0.0,93.0,1.1
5.358,171.0,171.0,30.0,0.0,93.0,1.1
5.392,171.0,171.0,30.0,0.0,93.0,1.1
5.426,172.0,172.0,30.0,0.0,93.0,1.1
5.46,173.0,173.0,30.0,0.0,93.0,1.1
5.494,173.0,173.0,30.0,0.0,93.0,1.1
5.528,174.0,174.0,30.0,0.0,107.0,1.1
5.562,174.0,174.0,30.0,0.0,107.0,1.1
5.596,175.0,175.0,30.0,0.0,107.0,1.1
5.63,176.0,176.0,30.0,0.0,107.0,0.99
5.664,176.0,176.0,30.0,0.0,107.0,0.99
