time,distance,filtered,setpoint,error,control,beam_angle
0.0,124.0,124.0,124.0,0.0,0.0,-0.41
0.064,124.0,124.0,124.0,0.0,0.0,-0.41
0.128,124.0,124.0,124.0,0.0,0.0,-0.41
0.192,124.0,124.0,124.0,0.0,0.0,-0.41
0.256,124.0,124.0,124.0,0.0,0.0,-0.41
0.32,124.0,124.0,124.0,0.0,0.0,-0.41
0.384,124.0,124.0,124.0,0.0,0.0,-0.41
0.448,124.0,124.0,124.0,0.0,0.0,-0.41
0.512,124.0,124.0,124.0,0.0,0.0,-0.41
0.576,124.0,124.0,124.0,0.0,0.0,-0.41
0.64,124.0,124.0,124.0,0.0,0.0,-0.41
0.704,124.0,124.0,124.0,0.0,0.0,-0.41
0.768,124.0,124.0,172.0,48.0,5.0,-0.41
0.833,124.0,124.0,172.0,48.0,12.0,-0.41
0.898,124.0,124.0,172.0,48.0,13.0,-0.51
0.963,124.0,124.0,172.0,48.0,13.0,-0.51
1.028,125.0,124.0,172.0,48.0,13.0,-2.95
1.093,127.0,126.0,172.0,46.0,9.0,-2.95
1.158,127.0,126.0,172.0,46.0,11.0,-2.95
1.223,135.0,133.0,172.0,39.0,0.0,-2.33
1.288,139.0,138.0,172.0,34.0,-3.0,-2.44
1.353,142.0,141.0,172.0,31.0,0.0,-2.24
1.418,147.0,147.0,172.0,25.0,-3.0,-1.02
1.483,155.0,154.0,172.0,18.0,-9.0,-0.31
1.548,158.0,157.0,172.0,15.0,-4.0,0.1
1.613,164.0,162.0,172.0,10.0,-6.0,0.71
1.678,165.0,165.0,172.0,7.0,-5.0,0.71
1.743,167.0,167.0,172.0,5.0,-3.0,0.1
1.808,171.0,170.0,172.0,2.0,-5.0,0.51
1.873,171.0,171.0,172.0,1.0,-3.0,0.3
1.938,172.0,172.0,172.0,0.0,-1.0,0.2
2.003,173.0,172.0,172.0,0.0,0.0,0.1
2.067,174.0,173.0,172.0,-1.0,-1.0,0.1
2.132,174.0,173.0,172.0,-1.0,0.0,0.1
2.197,174.0,174.0,172.0,-2.0,-2.0,-0.41
2.262,174.0,174.0,172.0,-2.0,0.0,-0.31
2.327,174.0,174.0,172.0,-2.0,0.0,-0.31
2.392,174.0,174.0,172.0,-2.0,0.0,-0.31
2.457,174.0,174.0,172.0,-2.0,0.0,-0.31
2.522,174.0,174.0,172.0,-2.0,0.0,-0.31
2.587,174.0,174.0,172.0,-2.0,0.0,-0.31
2.652,174.0,174.0,172.0,-2.0,0.0,-0.31
2.717,174.0,174.0,172.0,-2.0,0.0,-0.31
2.782,174.0,174.0,172.0,-2.0,0.0,-0.31
2.847,174.0,174.0,172.0,-2.0,0.0,-0.31
2.912,174.0,174.0,172.0,-2.0,0.0,-0.31
2.977,174.0,174.0,172.0,-2.0,0.0,-0.31
3.042,174.0,174.0,172.0,-2.0,0.0,-0.31
3.107,174.0,174.0,172.0,-2.0,0.0,-0.31
3.172,174.0,174.0,172.0,-2.0,0.0,-0.31
3.237,174.0,174.0,172.0,-2.0,0.0,-0.31
3.302,174.0,174.0,172.0,-2.0,0.0,-0.31
3.367,174.0,174.0,172.0,-2.0,0.0,-0.31
3.432,174.0,174.0,172.0,-2.0,0.0,-0.31
3.497,174.0,174.0,172.0,-2.0,0.0,-0.31
