time,distance,filtered,setpoint,error,control,beam_angle
0.0,105.0,105.0,30.0,0.0,0.0,0.26
0.034,105.0,105.0,30.0,0.0,0.0,0.26
0.068,105.0,105.0,30.0,0.0,0.0,0.26
0.102,105.0,105.0,30.0,0.0,0.0,0.26
0.136,105.0,105.0,30.0,0.0,0.0,0.26
0.17,105.0,105.0,30.0,0.0,0.0,0.26
0.204,105.0,105.0,30.0,0.0,0.0,0.26
0.238,105.0,105.0,30.0,0.0,0.0,0.26
0.272,105.0,105.0,30.0,0.0,0.0,0.26
0.306,105.0,105.0,30.0,0.0,0.0,0.26
0.34,105.0,105.0,30.0,0.0,0.0,0.26
0.374,105.0,105.0,30.0,0.0,0.0,0.26
0.408,105.0,105.0,30.0,0.0,0.0,0.26
0.442,105.0,105.0,30.0,0.0,0.0,0.26
0.476,105.0,105.0,30.0,0.0,0.0,0.26
0.51,105.0,105.0,30.0,0.0,0.0,0.26
0.544,105.0,105.0,30.0,0.0,0.0,0.26
0.578,105.0,105.0,30.0,0.0,0.0,0.26
0.612,105.0,105.0,30.0,0.0,0.0,0.26
0.646,105.0,105.0,30.0,0.0,0.0,0.26
0.68,105.0,105.0,30.0,0.0,0.0,0.26
0.714,105.0,105.0,30.0,0.0,0.0,0.26
0.748,105.0,105.0,30.0,0.0,0.0,0.26
0.782,105.0,105.0,30.0,0.0,0.0,0.27
0.816,105.0,105.0,30.0,0.0,0.0,0.26
0.85,105.0,105.0,30.0,0.0,0.0,0.26
0.884,105.0,105.0,30.0,0.0,0.0,0.26
0.918,105.0,105.0,30.0,0.0,0.0,0.26
0.952,105.0,105.0,30.0,0.0,0.0,0.26
0.986,105.0,105.0,30.0,0.0,0.0,0.26
1.02,105.0,105.0,30.0,0.0,0.0,0.26
1.054,105.0,105.0,30.0,0.0,0.0,0.26
1.088,105.0,105.0,30.0,0.0,0.0,0.26
1.122,105.0,105.0,30.0,0.0,0.0,0.26
1.156,105.0,105.0,30.0,0.0,0.0,0.26
1.19,105.0,105.0,30.0,0.0,0.0,0.26
1.224,105.0,105.0,30.0,0.0,0.0,0.26
1.258,105.0,105.0,30.0,0.0,6.0,0.26
1.292,105.0,105.0,30.0,0.0,12.0,0.26
1.326,105.0,105.0,30.0,0.0,18.0,0.06
1.36,105.0,105.0,30.0,0.0,20.0,-0.57
1.394,105.0,105.0,30.0,0.0,20.0,-0.57
1.428,105.0,105.0,30.0,0.0,20.0,-1.81
1.462,105.0,105.0,30.0,0.0,20.0,-1.81
1.496,106.0,105.0,30.0,0.0,20.0,-3.38
1.53,106.0,106.0,30.0,0.0,20.0,-3.38
1.564,108.0,107.0,30.0,0.0,20.0,-3.8
1.598,108.0,108.0,30.0,0.0,20.0,-3.8
1.632,115.0,113.0,30.0,0.0,20.0,-3.58
1.666,118.0,117.0,30.0,0.0,20.0,-3.58
1.7,122.0,120.0,30.0,0.0,20.0,-3.58
1.734,122.0,121.0,30.0,0.0,20.0,-3.58
1.768,130.0,127.0,30.0,0.0,20.0,-3.8
1.802,134.0,132.0,30.0,0.0,20.0,-3.8
1.836,134.0,133.0,30.0,0.0,20.0,-3.8
1.87,144.0,141.0,30.0,0.0,20.0,-3.79
1.904,150.0,147.0,30.0,0.0,20.0,-3.79
